en|It is located in the north of the Metropolitan Borough of Walsall approximately five miles
en|north of Walsall in an area which was part of Aldridge Brownhills Urban District until
en|Many of the houses in the area are privately owned and were built from with
en|the sale of various farm land at opposite sides of the village For instance the
en|Swingbridge Park development built by Maunders then Westbury following the purchase of the former was
en|built on Victorian Foot Mouth burial grounds The same development promised a public house on
en|the former Swingbridge Farm site on Northfields Way but the project was never given planning
en|permission The village remains dry and without any public house Clayhanger is locally infamous for
en|being an island you cannot get in or out with crossing water The village historically
en|was also subject to flooding especially the old railway line The United States presidential election
en|in Massachusetts took place on November as part of the General Election in which all
en|fifty states plus The District of Columbia participated Massachusetts voters chose eleven electors to represent
en|them in the Electoral College via a popular vote pitting incumbent Democratic President Barack Obama
en|and his running mate Vice President Joe Biden against Republican challenger and former Massachusetts Governor
en|Mitt Romney and his running mate Congressman Paul Ryan hen Donald Trump had a phone
en|conversation with Vladimir Putin on the morning of March th the two were at an
en|excruciatingly delicate juncture American intelligence officials had concluded that Russia had interfered in the Presidential
en|election with the goal of helping Trump win and Trump had become the subject of
en|an investigation by the special counsel Robert Mueller into allegations of collusion between the Kremlin
en|and the Trump campaign On March th a former Russian spy and his daughter had
en|been poisoned with a military grade nerve agent in the English city of Salisbury Theresa
en|May the British Prime Minister announced that the Russian state appeared to be responsible and
en|expelled twenty three Russian diplomats from the U K Before a phone call to a
en|foreign leader American Presidents are normally supplied with talking points prepared by staffers at the
en|National Security Council which is housed in the Eisenhower Executive Office Building next to the
en|White House Because conversations between heads of state can range widely such materials are usually
en|very detailed But Trump as a senior Administration official recently put it is not a
en|voracious reader The National Security Council has a comparatively lean budget approximately twelve million dollars
en|and so its staff consists largely of career professionals on loan from the State Department
en|the Pentagon and other agencies When Trump assumed office N S C staffers initially generated
en|memos for him that resembled those produced for his predecessors multi page explications of policy
en|and strategy But an edict came down a former staffer told me Thin it out
en|The staff dutifully trimmed the memos to a single page But then word comes back
en|This is still too much A senior Trump aide explained to the staffers that the
en|President is a visual person and asked them to express points pictorially By the time
en|I left we had these cards the former staffer said They are long and narrow
en|made of heavy stock and emblazoned with the words the white house at the top
en|Trump receives a thick briefing book every night but nobody harbors the illusion that he
en|reads it Current and former officials told me that filling out a card is the
en|best way to raise an issue with him in writing Everything that needs to be
en|conveyed to the President must be boiled down the former staffer said to two or
en|three points with the syntactical complexity of See Jane run Given Trump s avowed admiration
en|for despots and the curious deference that he has shown Putin his staff was worried
en|about the March th phone call Putin had recently been elected to another six year
en|term but American officials did not regard the election as legitimate Staffers were concerned that
en|Trump might nevertheless salute Putin on his sham victory When briefers prepared a card for
